idx,wav_path,prompt_id,tts,emotion,emotion_pred,correct,top_score,eas,proto_margin,tsne_x,tsne_y,nn_space,nn_k,nn_impurity,nn_alt,nn_alt_frac,knn3_match
15,output/sentences/openai/fold_1_nova/38.wav,idx38,openai,happy,neutral,False,0.43790153,0.7976106,-0.058541,11.212014,-1.1424845,emb,10,1.0,disgusted,0.6666666666666666,True
16,output/sentences/openai/fold_2_coral/38.wav,idx38,openai,happy,happy,True,0.9637378,0.92713207,0.16871935,-5.264284,22.556826,emb,10,0.5,surprised,0.0,True
17,output/sentences/openai/fold_3_echo/38.wav,idx38,openai,happy,neutral,False,0.7627591,0.84763265,-0.059264004,8.934047,10.389657,emb,10,0.7,neutral,0.8571428571428571,False
18,output/sentences/openai/fold_4_onyx/38.wav,idx38,openai,happy,happy,True,0.7476655,0.86484843,0.0653584,7.7149467,9.271586,emb,10,0.6,neutral,0.6666666666666666,True
19,output/sentences/openai/fold_5_verse/38.wav,idx38,openai,happy,happy,True,0.5017789,0.830999,0.044330716,-10.111509,13.005939,emb,10,0.7,surprised,0.4285714285714285,True
35,output/sentences/openai/fold_1_nova/14.wav,idx14,openai,disgusted,disgusted,True,0.9945522,0.8992819,0.29163897,0.63613003,-21.169617,emb,10,0.5,fearful,0.0,True
36,output/sentences/openai/fold_2_coral/14.wav,idx14,openai,disgusted,disgusted,True,0.9923934,0.89606285,0.28530908,1.1832175,-20.395433,emb,10,0.5,fearful,0.0,True
37,output/sentences/openai/fold_3_echo/14.wav,idx14,openai,disgusted,disgusted,True,0.99238753,0.88392675,0.2900194,-0.2766358,-21.82192,emb,10,0.5,fearful,0.0,True
38,output/sentences/openai/fold_4_onyx/14.wav,idx14,openai,disgusted,disgusted,True,0.9931224,0.8955579,0.28921956,1.3655168,-21.715446,emb,10,0.5,fearful,0.0,True
39,output/sentences/openai/fold_5_verse/14.wav,idx14,openai,disgusted,disgusted,True,0.98913175,0.8939645,0.26499236,2.390989,-20.186138,emb,10,0.5,angry,0.0,True
55,output/sentences/openai/fold_1_nova/51.wav,idx51,openai,sad,sad,True,0.9885811,0.9275991,0.22304255,24.539337,-16.573439,emb,10,0.2,angry,0.0,True
56,output/sentences/openai/fold_2_coral/51.wav,idx51,openai,sad,sad,True,0.9877253,0.9092388,0.23195606,23.512978,-6.483161,emb,10,0.2,angry,0.0,True
57,output/sentences/openai/fold_3_echo/51.wav,idx51,openai,sad,sad,True,0.91340864,0.8715065,0.12867928,23.814596,-5.82565,emb,10,0.2,angry,1.0,True
58,output/sentences/openai/fold_4_onyx/51.wav,idx51,openai,sad,sad,True,0.9985667,0.9489492,0.33890235,23.666021,-9.296822,emb,10,0.1,angry,0.0,True
59,output/sentences/openai/fold_5_verse/51.wav,idx51,openai,sad,sad,True,0.9369703,0.9058948,0.15954173,22.61049,-7.2630115,emb,10,0.2,angry,0.5,True
75,output/sentences/openai/fold_1_nova/50.wav,idx50,openai,neutral,neutral,True,0.7213013,0.84316707,0.049819946,9.059061,12.813862,emb,10,0.4,happy,0.5,True
76,output/sentences/openai/fold_2_coral/50.wav,idx50,openai,neutral,neutral,True,0.3587992,0.8448095,0.003450632,6.2915835,-2.8207164,emb,10,1.0,disgusted,1.0,False
77,output/sentences/openai/fold_3_echo/50.wav,idx50,openai,neutral,happy,False,0.8345391,0.80048096,-0.08459443,8.402418,13.393182,emb,10,0.4,happy,0.5,True
78,output/sentences/openai/fold_4_onyx/50.wav,idx50,openai,neutral,happy,False,0.8835326,0.8200706,-0.10415083,8.301642,12.084658,emb,10,0.4,happy,0.6666666666666666,True
79,output/sentences/openai/fold_5_verse/50.wav,idx50,openai,neutral,happy,False,0.663495,0.739143,-0.26103035,-6.3216786,7.394119,emb,10,1.0,happy,0.4285714285714285,False
95,output/sentences/openai/fold_1_nova/4.wav,idx4,openai,angry,angry,True,0.97575325,0.9046785,0.20343357,-43.911938,-2.4812603,emb,10,0.4,fearful,0.0,True
96,output/sentences/openai/fold_2_coral/4.wav,idx4,openai,angry,angry,True,0.9642741,0.912718,0.19424915,-43.76156,-0.88933027,emb,10,0.4,fearful,1.0,True
97,output/sentences/openai/fold_3_echo/4.wav,idx4,openai,angry,angry,True,0.957383,0.9053346,0.16468698,-43.045578,-2.3632755,emb,10,0.4,fearful,0.0,True
98,output/sentences/openai/fold_4_onyx/4.wav,idx4,openai,angry,angry,True,0.9415554,0.90235704,0.16766667,-44.77363,-1.6887778,emb,10,0.4,fearful,0.0,True
99,output/sentences/openai/fold_5_verse/4.wav,idx4,openai,angry,angry,True,0.94268143,0.91450834,0.16716671,-42.6018,-0.55380315,emb,10,0.4,fearful,0.0,True
115,output/sentences/openai/fold_1_nova/66.wav,idx66,openai,surprised,happy,False,0.523054,0.84695435,-0.06504589,-10.825935,4.6692476,emb,10,0.5,fearful,0.5,True
116,output/sentences/openai/fold_2_coral/66.wav,idx66,openai,surprised,surprised,True,0.28895456,0.8718842,0.0012840629,-12.06323,3.7151625,emb,10,0.5,fearful,0.75,True
117,output/sentences/openai/fold_3_echo/66.wav,idx66,openai,surprised,happy,False,0.75272554,0.85501194,-0.088318944,-9.65961,4.021023,emb,10,0.5,fearful,0.5,True
118,output/sentences/openai/fold_4_onyx/66.wav,idx66,openai,surprised,angry,False,0.42232102,0.8236408,-0.08699608,-8.58578,2.898239,emb,10,0.6,fearful,1.0,True
119,output/sentences/openai/fold_5_verse/66.wav,idx66,openai,surprised,happy,False,0.46087363,0.8550134,-0.044546545,-10.607761,3.8241134,emb,10,0.5,fearful,0.5,True
135,output/sentences/openai/fold_1_nova/39.wav,idx39,openai,happy,happy,True,0.8766405,0.8912376,0.12397909,-2.2851746,10.115387,emb,10,0.4,surprised,0.5,True
136,output/sentences/openai/fold_2_coral/39.wav,idx39,openai,happy,happy,True,0.7617171,0.8955388,0.07471526,-9.088659,8.341963,emb,10,0.7,surprised,0.8333333333333334,True
137,output/sentences/openai/fold_3_echo/39.wav,idx39,openai,happy,neutral,False,0.64541054,0.84511983,-0.038976252,1.5520855,10.844934,emb,10,0.5,neutral,0.5,True
138,output/sentences/openai/fold_4_onyx/39.wav,idx39,openai,happy,happy,True,0.83960253,0.88362217,0.093259335,0.35128754,10.862205,emb,10,0.4,neutral,1.0,True
139,output/sentences/openai/fold_5_verse/39.wav,idx39,openai,happy,happy,True,0.43926093,0.88000005,0.01782322,-9.651547,7.682736,emb,10,0.8,surprised,0.875,True
155,output/sentences/openai/fold_1_nova/16.wav,idx16,openai,disgusted,angry,False,0.5580989,0.8623399,-0.034389675,2.5346186,-0.41472983,emb,10,0.6,happy,0.6666666666666666,True
156,output/sentences/openai/fold_2_coral/16.wav,idx16,openai,disgusted,angry,False,0.86639047,0.86458707,-0.10150564,1.7992094,-0.021786619,emb,10,0.6,happy,0.5714285714285714,True
157,output/sentences/openai/fold_3_echo/16.wav,idx16,openai,disgusted,disgusted,True,0.6668649,0.8795489,0.057772815,4.094599,-1.8112105,emb,10,0.6,angry,0.3333333333333333,True
158,output/sentences/openai/fold_4_onyx/16.wav,idx16,openai,disgusted,disgusted,True,0.8338078,0.8720956,0.11165619,3.6319814,-4.328165,emb,10,0.6,angry,0.3333333333333333,True
159,output/sentences/openai/fold_5_verse/16.wav,idx16,openai,disgusted,disgusted,True,0.5369497,0.875806,0.025988817,3.6039374,-1.6321387,emb,10,0.6,angry,1.0,True
175,output/sentences/openai/fold_1_nova/28.wav,idx28,openai,fearful,fearful,True,0.92002416,0.9279102,0.12731367,-19.833948,-2.4411924,emb,10,0.3,surprised,0.0,True
176,output/sentences/openai/fold_2_coral/28.wav,idx28,openai,fearful,fearful,True,0.9805155,0.908371,0.22241151,-20.678936,-4.8363023,emb,10,0.3,surprised,0.0,True
177,output/sentences/openai/fold_3_echo/28.wav,idx28,openai,fearful,fearful,True,0.65770274,0.8820132,0.083058536,-16.791672,-5.91322,emb,10,0.3,surprised,0.75,True
178,output/sentences/openai/fold_4_onyx/28.wav,idx28,openai,fearful,surprised,False,0.66636,0.738381,-0.27923587,5.4434743,-18.11473,emb,10,0.9,disgusted,1.0,True
179,output/sentences/openai/fold_5_verse/28.wav,idx28,openai,fearful,disgusted,False,0.89567107,0.7257807,-0.31648004,3.7371595,-19.061686,emb,10,0.9,disgusted,1.0,True
195,output/sentences/openai/fold_1_nova/8.wav,idx8,openai,angry,angry,True,0.51275337,0.88618135,0.003195405,10.8670025,-6.5510716,emb,10,0.8,disgusted,0.7142857142857143,True
196,output/sentences/openai/fold_2_coral/8.wav,idx8,openai,angry,angry,True,0.8865446,0.8996576,0.11914593,-32.24333,-1.6182623,emb,10,0.4,fearful,0.5,True
197,output/sentences/openai/fold_3_echo/8.wav,idx8,openai,angry,angry,True,0.5549743,0.84433806,0.043392777,15.73908,-4.3123116,emb,10,0.8,sad,0.6666666666666666,True
198,output/sentences/openai/fold_4_onyx/8.wav,idx8,openai,angry,disgusted,False,0.72814584,0.7737633,-0.13840878,13.915888,-7.6412873,emb,10,0.8,sad,1.0,True
199,output/sentences/openai/fold_5_verse/8.wav,idx8,openai,angry,angry,True,0.93382263,0.9326296,0.15543556,-32.57594,-1.6726438,emb,10,0.4,fearful,0.4,True
215,output/sentences/openai/fold_1_nova/47.wav,idx47,openai,neutral,neutral,True,0.9845686,0.88590467,0.22953624,18.079943,14.490825,emb,10,0.3,happy,0.0,True
216,output/sentences/openai/fold_2_coral/47.wav,idx47,openai,neutral,neutral,True,0.9272549,0.87174356,0.14366448,16.398335,15.082684,emb,10,0.3,happy,0.0,True
217,output/sentences/openai/fold_3_echo/47.wav,idx47,openai,neutral,neutral,True,0.772899,0.857092,0.07122505,15.258965,15.9188595,emb,10,0.3,happy,1.0,True
218,output/sentences/openai/fold_4_onyx/47.wav,idx47,openai,neutral,neutral,True,0.9827276,0.8773958,0.22481483,17.743383,15.272929,emb,10,0.3,happy,0.0,True
219,output/sentences/openai/fold_5_verse/47.wav,idx47,openai,neutral,neutral,True,0.46701592,0.82491773,0.0050682425,18.120716,16.317091,emb,10,0.3,happy,0.0,True
235,output/sentences/openai/fold_1_nova/26.wav,idx26,openai,fearful,happy,False,0.91212296,0.77374744,-0.15380472,-9.347375,-1.7224168,emb,10,0.6,surprised,1.0,True
236,output/sentences/openai/fold_2_coral/26.wav,idx26,openai,fearful,fearful,True,0.5661846,0.89279616,0.032090545,-13.015055,1.4963862,emb,10,0.7,surprised,1.0,True
237,output/sentences/openai/fold_3_echo/26.wav,idx26,openai,fearful,sad,False,0.52629626,0.85106945,-0.008821249,-9.363003,-4.7044616,emb,10,0.5,surprised,1.0,True
238,output/sentences/openai/fold_4_onyx/26.wav,idx26,openai,fearful,sad,False,0.9134263,0.84088254,-0.11818856,-9.182152,-5.6655917,emb,10,0.5,surprised,1.0,True
239,output/sentences/openai/fold_5_verse/26.wav,idx26,openai,fearful,fearful,True,0.7399098,0.86309373,0.09473252,-10.2034,-3.0675192,emb,10,0.5,surprised,1.0,True
255,output/sentences/openai/fold_1_nova/68.wav,idx68,openai,surprised,happy,False,0.5734389,0.87736404,-0.016524732,-12.7323885,14.926437,emb,10,0.5,happy,1.0,True
256,output/sentences/openai/fold_2_coral/68.wav,idx68,openai,surprised,surprised,True,0.96928656,0.939883,0.2085802,-18.19165,14.9357605,emb,10,0.3,happy,0.6666666666666666,True
