idx,wav_path,prompt_id,tts,emotion,emotion_pred,correct,top_score,eas,proto_margin,tsne_x,tsne_y,nn_space,nn_k,nn_impurity,nn_alt,nn_alt_frac,knn3_match
10,output/sentences/genai/fold_1_zephyr/38.wav,idx38,genai,happy,happy,True,0.9841673,0.88224095,0.24673408,-6.0274982,29.524326,emb,10,0.1,surprised,1.0,True
11,output/sentences/genai/fold_2_leda/38.wav,idx38,genai,happy,happy,True,0.9769423,0.8991032,0.193932,-7.522591,28.496843,emb,10,0.1,surprised,1.0,True
12,output/sentences/genai/fold_3_fenrir/38.wav,idx38,genai,happy,happy,True,0.9734105,0.8882067,0.20186263,-7.2443514,29.647762,emb,10,0.1,surprised,1.0,True
13,output/sentences/genai/fold_4_kore/38.wav,idx38,genai,happy,happy,True,0.9830238,0.8911165,0.22020948,-6.5043526,28.688738,emb,10,0.1,surprised,1.0,True
14,output/sentences/genai/fold_5_charon/38.wav,idx38,genai,happy,happy,True,0.9587767,0.8965624,0.19459486,-8.753083,28.082468,emb,10,0.1,surprised,0.0,True
30,output/sentences/genai/fold_1_zephyr/14.wav,idx14,genai,disgusted,disgusted,True,0.9946884,0.9010048,0.28330028,-1.5560522,-20.236486,emb,10,0.1,fearful,0.0,True
31,output/sentences/genai/fold_2_leda/14.wav,idx14,genai,disgusted,disgusted,True,0.99443346,0.91537976,0.2747078,-0.41494718,-19.29605,emb,10,0.1,fearful,0.0,True
32,output/sentences/genai/fold_3_fenrir/14.wav,idx14,genai,disgusted,disgusted,True,0.9933114,0.8898802,0.28616977,-0.65988714,-20.48028,emb,10,0.1,fearful,0.0,True
33,output/sentences/genai/fold_4_kore/14.wav,idx14,genai,disgusted,disgusted,True,0.9744658,0.8956945,0.19892603,0.69655305,-18.335356,emb,10,0.1,fearful,0.0,True
34,output/sentences/genai/fold_5_charon/14.wav,idx14,genai,disgusted,disgusted,True,0.9940454,0.8903389,0.29660663,-1.7801303,-21.177553,emb,10,0.2,fearful,0.0,True
50,output/sentences/genai/fold_1_zephyr/51.wav,idx51,genai,sad,sad,True,0.9777204,0.92119753,0.19081312,24.72604,-14.661689,emb,10,0.1,disgusted,0.0,True
51,output/sentences/genai/fold_2_leda/51.wav,idx51,genai,sad,sad,True,0.988653,0.9023186,0.22319031,26.28473,-19.59127,emb,10,0.1,disgusted,0.0,True
52,output/sentences/genai/fold_3_fenrir/51.wav,idx51,genai,sad,sad,True,0.9825881,0.9206825,0.20380151,23.699553,-16.316984,emb,10,0.1,disgusted,1.0,True
53,output/sentences/genai/fold_4_kore/51.wav,idx51,genai,sad,sad,True,0.9875437,0.90398324,0.21849865,26.93917,-19.464666,emb,10,0.1,disgusted,0.0,True
54,output/sentences/genai/fold_5_charon/51.wav,idx51,genai,sad,sad,True,0.9640861,0.8914942,0.16597807,28.031193,-19.389938,emb,10,0.1,disgusted,0.0,True
70,output/sentences/genai/fold_1_zephyr/50.wav,idx50,genai,neutral,happy,False,0.94062877,0.7728028,-0.14079148,8.668837,14.867496,emb,10,0.1,happy,1.0,True
71,output/sentences/genai/fold_2_leda/50.wav,idx50,genai,neutral,neutral,True,0.6116049,0.8116016,0.025303185,9.373061,14.766716,emb,10,0.1,happy,1.0,True
72,output/sentences/genai/fold_3_fenrir/50.wav,idx50,genai,neutral,neutral,True,0.9838644,0.89539826,0.20536768,11.169438,11.263829,emb,10,0.1,happy,0.5,True
73,output/sentences/genai/fold_4_kore/50.wav,idx50,genai,neutral,neutral,True,0.9870547,0.90952736,0.22015595,10.64612,10.377977,emb,10,0.1,happy,0.6666666666666666,True
74,output/sentences/genai/fold_5_charon/50.wav,idx50,genai,neutral,neutral,True,0.9163227,0.887095,0.11953974,10.085448,11.438783,emb,10,0.1,happy,0.75,True
90,output/sentences/genai/fold_1_zephyr/4.wav,idx4,genai,angry,angry,True,0.9087623,0.9164028,0.115665436,-39.619244,-3.4610012,emb,10,0.1,surprised,0.0,True
91,output/sentences/genai/fold_2_leda/4.wav,idx4,genai,angry,angry,True,0.9152213,0.9249607,0.11963034,-39.031864,-2.952658,emb,10,0.1,surprised,0.0,True
92,output/sentences/genai/fold_3_fenrir/4.wav,idx4,genai,angry,angry,True,0.8638108,0.9163765,0.093310475,-40.416862,-4.0184407,emb,10,0.1,surprised,0.0,True
93,output/sentences/genai/fold_4_kore/4.wav,idx4,genai,angry,angry,True,0.91533196,0.9314195,0.1223948,-37.444817,-2.5362895,emb,10,0.1,surprised,0.0,True
94,output/sentences/genai/fold_5_charon/4.wav,idx4,genai,angry,angry,True,0.9008261,0.91457653,0.112041235,-40.387985,-2.8636556,emb,10,0.1,surprised,0.0,True
110,output/sentences/genai/fold_1_zephyr/66.wav,idx66,genai,surprised,surprised,True,0.6508501,0.90183544,0.06029588,-15.877155,9.905243,emb,10,0.1,fearful,1.0,True
111,output/sentences/genai/fold_2_leda/66.wav,idx66,genai,surprised,surprised,True,0.9507924,0.9350574,0.16844636,-20.18244,16.12184,emb,10,0.1,happy,1.0,True
