idx,wav_path,prompt_id,tts,emotion,emotion_pred,correct,top_score,eas,proto_margin,tsne_x,tsne_y,nn_space,nn_k,nn_impurity,nn_alt,nn_alt_frac,knn3_match
5,output/sentences/cosyvoice2/fold_1_nova/38.wav,idx38,cosyvoice2,happy,sad,False,0.89767224,0.7454428,-0.16633824,33.42888,-12.988915,emb,10,0.9,sad,0.6,True
6,output/sentences/cosyvoice2/fold_2_coral/38.wav,idx38,cosyvoice2,happy,sad,False,0.9695705,0.73731494,-0.20907006,33.454582,-12.984401,emb,10,0.9,sad,0.8,True
7,output/sentences/cosyvoice2/fold_3_echo/38.wav,idx38,cosyvoice2,happy,neutral,False,0.93098956,0.8215127,-0.15335768,5.599447,9.010992,emb,10,0.5,neutral,0.6,True
8,output/sentences/cosyvoice2/fold_4_onyx/38.wav,idx38,cosyvoice2,happy,neutral,False,0.9328325,0.8111825,-0.14682388,9.567442,7.463424,emb,10,0.6,neutral,0.5714285714285714,False
9,output/sentences/cosyvoice2/fold_5_verse/38.wav,idx38,cosyvoice2,happy,happy,True,0.9810192,0.9283917,0.2375027,-2.825119,23.453035,emb,10,0.4,surprised,0.0,True
25,output/sentences/cosyvoice2/fold_1_nova/14.wav,idx14,cosyvoice2,disgusted,disgusted,True,0.98623335,0.8709649,0.25920433,0.2857223,-23.909288,emb,10,0.3,fearful,0.0,True
26,output/sentences/cosyvoice2/fold_2_coral/14.wav,idx14,cosyvoice2,disgusted,disgusted,True,0.9858019,0.86817193,0.26025775,-0.60147864,-24.018877,emb,10,0.3,fearful,0.0,True
27,output/sentences/cosyvoice2/fold_3_echo/14.wav,idx14,cosyvoice2,disgusted,disgusted,True,0.9893624,0.8901008,0.26275212,0.60460657,-22.607391,emb,10,0.3,fearful,0.0,True
28,output/sentences/cosyvoice2/fold_4_onyx/14.wav,idx14,cosyvoice2,disgusted,disgusted,True,0.9832644,0.87996745,0.23827755,1.6104262,-24.057596,emb,10,0.3,fearful,0.0,True
29,output/sentences/cosyvoice2/fold_5_verse/14.wav,idx14,cosyvoice2,disgusted,disgusted,True,0.98459446,0.87023294,0.2611713,-0.8612762,-22.891188,emb,10,0.3,fearful,0.0,True
45,output/sentences/cosyvoice2/fold_1_nova/51.wav,idx51,cosyvoice2,sad,angry,False,0.38014865,0.7778461,-0.07087439,22.268871,0.15179048,emb,10,0.6,angry,0.6666666666666666,False
46,output/sentences/cosyvoice2/fold_2_coral/51.wav,idx51,cosyvoice2,sad,fearful,False,0.5234112,0.8450056,-0.009830415,29.949276,-20.20292,emb,10,0.7,fearful,1.0,True
