idx,wav_path,prompt_id,tts,emotion,emotion_pred,correct,top_score,eas,proto_margin,tsne_x,tsne_y,nn_space,nn_k,nn_impurity,nn_alt,nn_alt_frac,knn3_match
0,output/sentences/azure/fold_1_en-US-JennyNeural/38.wav,idx38,azure,happy,happy,True,0.94008565,0.8920175,0.14534092,-5.798398,27.292055,emb,10,0.09999999999999998,surprised,1.0,True
1,output/sentences/azure/fold_2_en-US-DavisNeural/38.wav,idx38,azure,happy,happy,True,0.48528284,0.88569474,0.004436612,-11.095983,11.709274,emb,10,0.7,surprised,1.0,True
2,output/sentences/azure/fold_3_en-US-GuyNeural/38.wav,idx38,azure,happy,happy,True,0.9719573,0.93787754,0.18114609,-3.8316407,22.812819,emb,10,0.0,,0.0,True
3,output/sentences/azure/fold_4_en-US-AriaNeural/38.wav,idx38,azure,happy,happy,True,0.9760952,0.88268906,0.22239643,-4.5526934,28.53471,emb,10,0.0,,0.0,True
4,output/sentences/azure/fold_5_en-US-SaraNeural/38.wav,idx38,azure,happy,happy,True,0.8582633,0.87448597,0.09197348,-3.0038404,27.229815,emb,10,0.0,,0.0,True
5,output/sentences/cosyvoice2/fold_1_nova/38.wav,idx38,cosyvoice2,happy,sad,False,0.89767224,0.7454428,-0.16633824,33.42888,-12.988915,emb,10,1.0,sad,0.6,True
6,output/sentences/cosyvoice2/fold_2_coral/38.wav,idx38,cosyvoice2,happy,sad,False,0.9695705,0.73731494,-0.20907006,33.454582,-12.984401,emb,10,1.0,sad,0.8,True
7,output/sentences/cosyvoice2/fold_3_echo/38.wav,idx38,cosyvoice2,happy,neutral,False,0.93098956,0.8215127,-0.15335768,5.599447,9.010992,emb,10,0.5,neutral,0.6,True
8,output/sentences/cosyvoice2/fold_4_onyx/38.wav,idx38,cosyvoice2,happy,neutral,False,0.9328325,0.8111825,-0.14682388,9.567442,7.463424,emb,10,0.7,neutral,0.5714285714285714,False
9,output/sentences/cosyvoice2/fold_5_verse/38.wav,idx38,cosyvoice2,happy,happy,True,0.9810192,0.9283917,0.2375027,-2.825119,23.453035,emb,10,0.0,,0.0,True
10,output/sentences/genai/fold_1_zephyr/38.wav,idx38,genai,happy,happy,True,0.9841673,0.88224095,0.24673408,-6.0274982,29.524326,emb,10,0.09999999999999998,surprised,1.0,True
11,output/sentences/genai/fold_2_leda/38.wav,idx38,genai,happy,happy,True,0.9769423,0.8991032,0.193932,-7.522591,28.496843,emb,10,0.19999999999999996,surprised,1.0,True
12,output/sentences/genai/fold_3_fenrir/38.wav,idx38,genai,happy,happy,True,0.9734105,0.8882067,0.20186263,-7.2443514,29.647762,emb,10,0.09999999999999998,surprised,1.0,True
13,output/sentences/genai/fold_4_kore/38.wav,idx38,genai,happy,happy,True,0.9830238,0.8911165,0.22020948,-6.5043526,28.688738,emb,10,0.09999999999999998,surprised,1.0,True
14,output/sentences/genai/fold_5_charon/38.wav,idx38,genai,happy,happy,True,0.9587767,0.8965624,0.19459486,-8.753083,28.082468,emb,10,0.0,,0.0,True
15,output/sentences/openai/fold_1_nova/38.wav,idx38,openai,happy,neutral,False,0.43790153,0.7976106,-0.058541,11.212014,-1.1424845,emb,10,0.9,disgusted,0.6666666666666666,True
16,output/sentences/openai/fold_2_coral/38.wav,idx38,openai,happy,happy,True,0.9637378,0.92713207,0.16871935,-5.264284,22.556826,emb,10,0.0,,0.0,True
